,p3,d130,or96,s3,s24,s48,s72,s96,s130,s154,s178,ls3,ls24,ls48,ls72,ls96,ls130,ls154,ls178,אורחת,מארחת,date1
307,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,מ.ס אשדוד,הפועל אשקלון,11.9.16
308,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,הפועל אשקלון,"בית""ר ירושלים",17.9.16
323,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,הפועל תל אביב,הפועל אשקלון,21.1.17
400,0.0,2.0,1.0,,,,,,,,,,,,,,,,,הפועל תל אביב,מכבי חיפה,22.08.16
401,0.0,2.0,5.0,,,,,,,,,,,,,,,,,הפועל באר שבע,הפועל תל אביב,27.08.16
402,0.0,8.0,7.0,,,,,,,,,,,,,,,,,הפועל תל אביב,מכבי פתח תקווה,12.09.16
403,0.0,2.0,15.0,,,,,,,,,,,,,,,,,עירוני קריית שמונה,הפועל תל אביב,17.09.16
404,0.0,1.0,5.0,,,,,,,,,,,,,,,,,הפועל תל אביב,מכבי תל אביב,25.09.16
405,0.0,9.0,7.0,,,,,,,,,,,,,,,,,הפועל אשקלון,הפועל תל אביב,01.10.16
406,5.0,2.0,1.0,,,,,,,,,,,,,,,,,הפועל תל אביב,הפועל חיפה,22.10.16
407,0.0,12.0,11.0,,,,,,,,,,,,,,,,,הפועל כפר סבא,הפועל תל אביב,29.10.16
408,0.0,21.0,1.0,,,,,,,,,,,,,,,,,הפועל תל אביב,מ.ס. אשדוד,05.11.16
409,0.0,1.0,4.0,,,,,,,,,,,,,,,,,הפועל תל אביב,"בית""ר ירושלים",21.11.16
410,0.0,1.0,3.0,,,,,,,,,,,,,,,,,הפועל תל אביב,הפועל רעננה,26.11.16
411,0.0,1.0,0.0,,,,,,,,,,,,,,,,,הפועל תל אביב,בני יהודה,04.12.16
412,1.0,17.0,13.0,,,,,,,,,,,,,,,,,בני סכנין,הפועל תל אביב,10.12.16
413,0.0,2.0,2.0,,,,,,,,,,,,,,,,,מכבי חיפה,הפועל תל אביב,19.12.16
414,0.0,0.0,5.0,,,,,,,,,,,,,,,,,הפועל תל אביב,הפועל באר שבע,25.12.16
415,0.0,13.0,10.0,,,,,,,,,,,,,,,,,מכבי פתח תקווה,הפועל תל אביב,31.12.16
416,2.0,13.0,2.0,,,,,,,,,,,,,,,,,הפועל תל אביב,עירוני קריית שמונה,12.01.17
417,0.0,3.0,11.0,,,,,,,,,,,,,,,,,מכבי תל אביב,הפועל תל אביב,16.01.17
418,2.0,1.0,6.0,,,,,,,,,,,,,,,,,הפועל תל אביב,הפועל אשקלון,21.01.17
419,0.0,0.0,9.0,,,,,,,,,,,,,,,,,הפועל חיפה,הפועל תל אביב,29.01.17
420,0.0,0.0,4.0,,,,,,,,,,,,,,,,,הפועל תל אביב,הפועל כפר סבא,05.02.17
421,0.0,4.0,10.0,,,,,,,,,,,,,,,,,מ.ס. אשדוד,הפועל תל אביב,12.02.17
422,0.0,2.0,2.0,,,,,,,,,,,,,,,,,"בית""ר ירושלים",הפועל תל אביב,20.02.17
423,0.0,4.0,0.0,,,,,,,,,,,,,,,,,הפועל רעננה,הפועל תל אביב,25.02.17
424,0.0,1.0,3.0,,,,,,,,,,,,,,,,,בני יהודה,הפועל תל אביב,04.03.17
425,1.0,8.0,3.0,,,,,,,,,,,,,,,,,הפועל תל אביב,בני סכנין,11.03.17
426,1.0,1.0,2.0,,,,,,,,,,,,,,,,,הפועל הפועל תל אביב,עירוני קריית שמונה,18.03.17
427,0.0,2.0,1.0,,,,,,,,,,,,,,,,,בני יהודה,הפועל תל אביב,01.04.17
428,0.0,0.0,1.0,,,,,,,,,,,,,,,,,הפועל תל אביב,הפועל חיפה,08.04.17
429,1.0,11.0,3.0,,,,,,,,,,,,,,,,,הפועל כפר סבא,הפועל תל אביב,24.04.17
430,1.0,6.0,7.0,,,,,,,,,,,,,,,,,הפועל תל אביב,מ.ס. אשדוד,29.04.17
431,0.0,1.0,7.0,,,,,,,,,,,,,,,,,הפועל אשקלון,הפועל תל אביב,06.05.17
432,0.0,0.0,0.0,,,,,,,,,,,,,,,,,הפועל תל אביב,הפועל רעננה,13.05.17
